Ford Motor Co,0.16,59 992,7 142 702
ING Groep NV,0.16,60 881,7 091 642
EOG Resources Inc,0.16,9 448,7 044 785
Honda Motor Co Ltd,0.16,27 600,7 023 902
BHP Billiton Plc,0.16,38 757,7 005 971
Emc Corp/Ma,0.16,34 425,6 980 712
Simon Property Group Inc,0.16,5 063,6 924 249
Morgan Stanley,0.16,24 454,6 875 230
Emerson Electric Co,0.16,15 479,6 862 049
Canadian National Railway Co,0.16,13 966,6 768 427
Duke Energy Corp,0.15,11 406,6 667 135
Teva Pharmaceutical Industries Ltd,0.15,14 434,6 643 488
Mckesson Corp,0.15,3 899,6 563 696
ABB Ltd,0.15,39 264,6 499 183
Thermo Fisher Scientific Inc,0.15,6 808,6 447 596
National Grid Plc,0.15,62 934,6 406 038
Shire PLC,0.14,10 142,6 265 754
Target Corp,0.14,10 480,6 225 366
Metlife Inc,0.14,16 070,6 210 987
Danone Sa,0.14,11 050,6 079 440
Suncor Energy Inc,0.14,24 827,6 068 545
Twenty-First Century Fox Inc,0.14,23 575,6 054 292
Anadarko Petroleum Corp,0.14,8 462,6 000 324
Air Liquide Sa,0.14,6 008,5 974 535
LVMH Moet Hennessy Louis Vuitton SE,0.14,4 469,5 952 929
General Mills Inc,0.14,14 234,5 935 785
Pnc Financial Services Group Inc/The,0.14,8 501,5 876 158
Blackrock Inc,0.14,2 141,5 871 628
TJX Cos Inc,0.13,12 010,5 840 957
L'Oreal Sa,0.13,3 987,5 764 749
Capital One Financial Corp,0.13,9 438,5 750 056
NextEra Energy Inc,0.13,7 532,5 728 523
General Motors Co,0.13,21 682,5 728 268
Fedex Corp,0.13,4 469,5 710 465
Time Warner Cable Inc,0.13,4 869,5 706 083
Axa Sa,0.13,29 444,5 640 852
Lyondellbasell Industries NV,0.13,7 222,5 633 701
Eaton Corp PLC,0.13,10 812,5 599 696
Illinois Tool Works Inc,0.13,7 917,5 582 847
Eni SpA,0.13,38 399,5 570 400
Fanuc Corp,0.13,3 300,5 511 834
Zurich Insurance Group Ag,0.13,2 340,5 450 461
Cie Financiere Richemont Sa,0.13,8 019,5 442 108
Archer-Daniels-Midland Co,0.12,14 741,5 429 630
Halliburton Co,0.12,14 651,5 404 208
Salesforce.com Inc,0.12,9 816,5 386 384
Kddi Corp,0.12,30 100,5 382 842
Dominion Resources Inc/Va,0.12,9 961,5 380 381
Intesa Sanpaolo Spa,0.12,211 232,5 379 406
Mizuho Financial Group Inc,0.12,368 030,5 300 004
Schneider Electric SE,0.12,9 259,5 279 919
Kroger Co/The,0.12,10 098,5 243 602
Canon Inc,0.12,19 400,5 232 107
Phillips 66,0.12,8 747,5 227 562
DIRECTV,0.12,7 600,5 194 657
Credit Suisse Group AG,0.12,25 799,5 146 043
Enbridge Inc,0.12,13 110,5 143 218
Precision Castparts Corp,0.12,3 287,5 119 544
American Tower Corp,0.12,7 102,5 058 973
